metric,n_cases,mean,sd,se,min,max
expected_fs_hard_sum,5,0.8483877394227882,0.2247096288908159,0.100493201079723,0.4695254826722911,1.0604379814239262
expected_fs_hard_mean,5,0.16399325333440334,0.04490666677576929,0.020082871910710284,0.08929597454875271,0.21027271829729224
expected_fs_hard_density,5,0.08361887063247994,0.022503023199339788,0.010063657914595714,0.045691170149659566,0.1054279882836635
expected_fs_soft_sum,5,2.4532098884431432,0.21298548587154634,0.09525000492591973,2.3195016605586902,2.8319728806936393
expected_fs_soft_mean,5,0.45887529742712374,0.027337111387047686,0.012225527873984437,0.4431035802576004,0.5073912855472692
expected_fs_soft_density,5,0.23421849318463858,0.012193583004827875,0.005453136097616254,0.2258965681511998,0.2557042549409499
n_shapes_selected_hard,5,1934.4,794.7690230500934,355.4315123902212,1447.0,3345.0
