case_id,top_k_clusters,n_selected_clusters,n_shapes_selected_hard,expected_fs_hard_sum,expected_fs_hard_mean,expected_fs_hard_density,expected_fs_soft_sum,expected_fs_soft_mean,expected_fs_soft_density,fs_signed,fs_resolution,n_points_shape,n_points_occluder
butterfly_48_symmetrical_2_1,5,5,1659,0.8571154460977979,0.16872018242664638,0.08572475225366406,2.3195016605586902,0.4431035802576004,0.2258965681511998,True,3,256,128
butterfly_48_symmetrical_2_2,5,5,1528,0.906166574708011,0.17125668303561437,0.08852957088599575,2.377022911750384,0.4435556081085281,0.22800407027971162,True,3,256,128
butterfly_48_symmetrical_2_3,5,5,3345,1.0604379814239262,0.21027271829729224,0.1054279882836635,2.8319728806936393,0.5073912855472692,0.2557042549409499,True,3,256,128
butterfly_48_symmetrical_2_4,5,5,1447,0.9486932122119143,0.18042070836371094,0.09272087158941678,2.3638084000786193,0.45049584805835285,0.23147701312445046,True,3,256,128
butterfly_48_symmetrical_2_5,5,5,1693,0.4695254826722911,0.08929597454875271,0.045691170149659566,2.3737435891343837,0.4498301651638681,0.23001055942688123,True,3,256,128
