metric,n_cases,mean,sd,se,min,max
expected_fs_hard_sum,15,5.590527316591532,0.3280939320953786,0.08471348899980723,5.083392053166903,6.225221862739777
expected_fs_hard_mean,15,0.8477607419204787,0.024142217935397142,0.0062334938669535425,0.8110700939865061,0.8933348173612923
expected_fs_hard_density,15,0.21615989084626275,0.005349939370746967,0.0013813484057414926,0.2078543497359642,0.2266867810764518
expected_fs_soft_sum,15,5.500718329547045,0.32879178013952015,0.0848936725900168,5.009397087514552,6.159935262724295
expected_fs_soft_mean,15,0.8413948301318077,0.024437986856727028,0.0063098610740626344,0.805385342198481,0.8891371492905874
expected_fs_soft_density,15,0.21459613218667345,0.005452196449791979,0.0014077510700197025,0.20661720995690824,0.22570321353393588
n_shapes_selected_hard,15,6317.466666666666,1133.4778255230142,292.66271610306865,4891.0,8648.0
