case_id,top_k_clusters,n_selected_clusters,n_shapes_selected_hard,expected_fs_hard_sum,expected_fs_hard_mean,expected_fs_hard_density,expected_fs_soft_sum,expected_fs_soft_mean,expected_fs_soft_density,fs_signed,fs_resolution,n_points_shape,n_points_occluder
elephant_7_high_small_1,5,5,7213,5.7162882377431,0.8589333360640405,0.2184172615706343,5.608419003250562,0.8516321811954783,0.21658497466596144,True,3,256,128
elephant_7_high_small_2,5,5,6525,5.676544330691872,0.8547257446250563,0.21609105560314243,5.554293161518918,0.8465410184254749,0.21404904607091615,True,3,256,128
elephant_7_high_small_3,5,5,5828,5.5808267978917945,0.8487373221491373,0.21770544760027485,5.50404170318238,0.8429606331878966,0.21633063719825701,True,3,256,128
elephant_7_high_small_4,5,5,5159,5.088078895650291,0.8116877801839718,0.2078543497359642,5.020221686295461,0.8066477311631166,0.20661720995690824,True,3,256,128
elephant_7_high_small_5,5,5,6127,5.6577158201239195,0.8538145728799823,0.21632666284039442,5.575064520487525,0.8475090760262589,0.21475226136209652,True,3,256,128
elephant_7_high_small_6,5,5,5508,5.362615652351349,0.8299714556171628,0.21258697555346484,5.264001928763259,0.822671725488688,0.21072717559598475,True,3,256,128
elephant_7_high_small_7,5,5,4891,5.083392053166903,0.8110700939865061,0.20820872384317088,5.009397087514552,0.805385342198481,0.2068416808666327,True,3,256,128
elephant_7_high_small_8,5,5,8171,5.881639785624599,0.8721174358668868,0.22165309446069156,5.804225849440513,0.8672622131343033,0.22051348181492425,True,3,256,128
elephant_7_high_small_9,5,5,5213,5.341076992617916,0.8255788502116043,0.2115539118838144,5.238786703959514,0.8182580327722073,0.2097494726798931,True,3,256,128
elephant_7_high_small_10,5,5,5807,5.32120033430018,0.8283500479117686,0.2117116362002583,5.214362916623925,0.8207210922664252,0.20982663026740933,True,3,256,128
elephant_7_high_small_11,5,5,8648,6.225221862739777,0.8933348173612923,0.2266867810764518,6.159935262724295,0.8891371492905874,0.22570321353393588,True,3,256,128
elephant_7_high_small_12,5,5,5380,5.341941613268258,0.8300098360240873,0.21280902198493756,5.254751159879728,0.8236447898412387,0.2112134214063738,True,3,256,128
elephant_7_high_small_13,5,5,7394,5.9253781362501305,0.872774728760205,0.2217002799011897,5.819722424991774,0.8658155815785682,0.22005743344733086,True,3,256,128
elephant_7_high_small_14,5,5,6904,5.893507444955249,0.8682027532469704,0.22037236060848683,5.81021526195415,0.8620380886934486,0.21877024989351207,True,3,256,128
elephant_7_high_small_15,5,5,5994,5.762481791497647,0.8571023539185063,0.2187207998310654,5.673336272619105,0.8506977967149408,0.21720509403996507,True,3,256,128
