case_id,top_k_clusters,n_selected_clusters,n_shapes_selected_hard,expected_fs_hard_sum,expected_fs_hard_mean,expected_fs_hard_density,expected_fs_soft_sum,expected_fs_soft_mean,expected_fs_soft_density,fs_signed,fs_resolution,n_points_shape,n_points_occluder
butterfly_48_symmetrical_1_1,5,5,1611,0.837351500735882,0.1765406846881945,0.09934464277231836,2.525013862462977,0.5129334093245633,0.2838535836990038,True,3,256,128
butterfly_48_symmetrical_1_2,5,5,1574,2.07346734716866,0.4301671321527597,0.25025744353676815,2.620886769347143,0.5334226722711175,0.29524943913396984,True,3,256,128
butterfly_48_symmetrical_1_3,5,5,3993,2.3243568517944144,0.45307199270381493,0.2579568986909275,2.1422329957173076,0.4328988297906594,0.24700822499297562,True,3,256,128
butterfly_48_symmetrical_1_4,5,5,2255,2.778091538019481,0.5666255367081274,0.30133750629039974,2.541968472084283,0.5290173454491561,0.2932418570174603,True,3,256,128
butterfly_48_symmetrical_1_5,5,5,2353,1.4143746810140236,0.29061332258443545,0.151520169803304,2.5212863517850073,0.5261241837538213,0.2904734731447106,True,3,256,128
