metric,n_cases,mean,sd,se,min,max
expected_fs_hard_sum,5,14.10353112363013,0.6137308524569633,0.2744687811965328,13.524518979555271,15.146784050511057
expected_fs_hard_mean,5,1.0504967687309035,0.020037688559822478,0.008961126746346583,1.0294721753788363,1.0837336429597866
expected_fs_hard_density,5,0.4020472812722698,0.007858502672259168,0.0035144292353070502,0.3933754451135076,0.4148816696445503
expected_fs_soft_sum,5,13.882556699456767,0.6231363574138286,0.27867505088578515,13.310617467029527,14.948909535546946
expected_fs_soft_mean,5,1.0432582562131083,0.020385186801932444,0.009116532684630496,1.0222711463545577,1.07730600378678
expected_fs_soft_density,5,0.3990470871871731,0.008118373511720248,0.003630647007788032,0.39021842844244053,0.4123870758905203
n_shapes_selected_hard,5,4488.8,988.5975925521972,442.11428386787054,3323.0,6067.0
