case_id,top_k_clusters,n_selected_clusters,n_shapes_selected_hard,expected_fs_hard_sum,expected_fs_hard_mean,expected_fs_hard_density,expected_fs_soft_sum,expected_fs_soft_mean,expected_fs_soft_density,fs_signed,fs_resolution,n_points_shape,n_points_occluder
elephant_7_high_large_1,5,5,3878,31.1095262176297,1.245085713106454,0.25038388079825213,31.266104968680768,1.2476401311573952,0.2508415518744553,True,3,256,128
elephant_7_high_large_2,5,5,4027,31.509742178504506,1.2513551284725897,0.2512452839876504,31.660791176883123,1.2537542035189326,0.25164692263858895,True,3,256,128
elephant_7_high_large_3,5,5,3710,31.6131355524191,1.2541398146966376,0.2517900173216309,31.74911957005835,1.256244736360276,0.2521604750732563,True,3,256,128
elephant_7_high_large_4,5,5,3545,31.91744775098671,1.252166308017098,0.25112401247915456,32.152471771434676,1.2555914195123792,0.25168743556536677,True,3,256,128
elephant_7_high_large_5,5,5,3674,30.28130048180126,1.2291908373320375,0.2468206291304216,30.377778455642144,1.230379065026089,0.24696810478929315,True,3,256,128
elephant_7_high_large_6,5,5,3846,29.000690115513915,1.2213824344786266,0.24737068715646987,28.98386406221352,1.2215992388746402,0.24748049195626176,True,3,256,128
elephant_7_high_large_7,5,5,3334,31.837971995784354,1.2518927240664826,0.2506345389037099,31.927277936485233,1.2532580250437417,0.25086700925008487,True,3,256,128
elephant_7_high_large_8,5,5,3603,32.02392048245153,1.2592069241730224,0.252525689393095,32.193578457881074,1.261788068499963,0.2529488960169627,True,3,256,128
elephant_7_high_large_9,5,5,3347,30.714608034155805,1.2385568514176168,0.2488646050821193,30.805742607738953,1.2399039586478242,0.24905972651868152,True,3,256,128
elephant_7_high_large_10,5,5,3701,31.626566667492288,1.2576914566536683,0.25252113093549555,31.79410034174112,1.2602179629198413,0.2529586097616745,True,3,256,128
elephant_7_high_large_11,5,5,3610,31.54391397702847,1.2501093551092883,0.25066609300996245,31.65641755139275,1.2516378696960946,0.2509030136089259,True,3,256,128
elephant_7_high_large_12,5,5,4109,29.498836470371558,1.2247835204176858,0.2477774928616488,29.564942028780216,1.2263049868107676,0.24810472133987355,True,3,256,128
elephant_7_high_large_13,5,5,3833,31.959446870738255,1.2571498162151755,0.2518413594223063,32.11394722511471,1.2594819585505113,0.25222132024234556,True,3,256,128
elephant_7_high_large_14,5,5,3599,31.642228042180907,1.250754568783603,0.25066466241930097,31.743125290331186,1.2518900722955442,0.2507878820858864,True,3,256,128
elephant_7_high_large_15,5,5,4150,30.532258982126066,1.234438304860451,0.2488628293152118,30.66333998424669,1.2366281656070703,0.24925456636047555,True,3,256,128
