metric,n_cases,mean,sd,se,min,max
expected_fs_hard_sum,15,5.058349525107092,0.5610945889195916,0.14487399990217834,3.9564613960329678,5.860865358848692
expected_fs_hard_mean,15,0.7960070298634763,0.07193701473704474,0.018574057336830117,0.6498033653493046,0.8710666194813939
expected_fs_hard_density,15,0.206257330015226,0.019455335386617797,0.005023345996483371,0.17108470672895934,0.23262918513836137
expected_fs_soft_sum,15,5.064812366607982,0.3635434579561744,0.09386651721912798,4.29170000475516,5.68736293999201
expected_fs_soft_mean,15,0.8123122796924511,0.027211994980439136,0.007026106891754706,0.75757905648613,0.8651249833581458
expected_fs_soft_density,15,0.2103948759427235,0.010715219108539039,0.002766657677222345,0.18762170312148296,0.22817686463554468
n_shapes_selected_hard,15,1319.0,346.77967480396376,89.53812702126503,964.0,1982.0
