case_id,top_k_clusters,n_selected_clusters,n_shapes_selected_hard,expected_fs_hard_sum,expected_fs_hard_mean,expected_fs_hard_density,expected_fs_soft_sum,expected_fs_soft_mean,expected_fs_soft_density,fs_signed,fs_resolution,n_points_shape,n_points_occluder
elephant_7_low_small_1,5,5,5798,5.0662809545300656,0.8089516283963303,0.20446051804568896,5.002559092306292,0.8039101214606996,0.20302647614104657,True,3,256,128
elephant_7_low_small_2,5,5,5482,5.168605134553092,0.8164820008313769,0.20542538262286403,5.107339919023241,0.8120207684869413,0.2041267119313651,True,3,256,128
elephant_7_low_small_3,5,5,6530,5.296003864734965,0.8248059393960795,0.20912344118771684,5.230360166658679,0.8197958954498313,0.2077426191853161,True,3,256,128
elephant_7_low_small_4,5,5,5067,5.070674152804082,0.8064114994216389,0.20279595272920592,5.019558951060986,0.8026147347056892,0.20170376253811245,True,3,256,128
elephant_7_low_small_5,5,5,4552,4.647970804442771,0.7777292805424447,0.19468971992927517,4.5872380185623705,0.7732568728984524,0.19333642339326232,True,3,256,128
elephant_7_low_small_6,5,5,4648,4.7536414932053415,0.7838694563719097,0.19682458869165306,4.679019105773578,0.7783031654926641,0.19525779707638957,True,3,256,128
elephant_7_low_small_7,5,5,5664,5.297579467868181,0.8232211197420397,0.20845513254744494,5.233582038402856,0.818629399804013,0.20718648014911162,True,3,256,128
elephant_7_low_small_8,5,5,5254,5.028936068297423,0.8058208004291189,0.20291839976534598,4.959594660462978,0.8006956447826412,0.20151164897853352,True,3,256,128
elephant_7_low_small_9,5,5,5296,5.018691083804221,0.8047830734922155,0.20278308505963805,4.969495583562022,0.8013853447135373,0.2017875079699055,True,3,256,128
elephant_7_low_small_10,5,5,5315,4.994972090501217,0.8021117494489649,0.20228255519996657,4.955776322501135,0.7992892352631792,0.20146614408839603,True,3,256,128
elephant_7_low_small_11,5,5,5548,5.361131809487282,0.8303437208735127,0.20920788286917516,5.310048851367611,0.8267406661141559,0.2080532191670023,True,3,256,128
elephant_7_low_small_12,5,5,3988,4.581867597200871,0.7739525091390518,0.19394087831511903,4.50631512235705,0.7683872699176468,0.1923152331679896,True,3,256,128
elephant_7_low_small_13,5,5,4596,4.61972604709215,0.7754784742739833,0.1943037375822907,4.552156328588254,0.7702387058291591,0.1927803099229386,True,3,256,128
elephant_7_low_small_14,5,5,4229,4.6231611363888785,0.7793894232072358,0.19613808325783777,4.554509285588015,0.7741433805210204,0.19461210766338718,True,3,256,128
elephant_7_low_small_15,5,5,4770,4.79530822426103,0.786564297456649,0.19759026702027516,4.723739312723808,0.7814182831565601,0.19605345583273065,True,3,256,128
