case_id,idx,x,y,s,s_norm,fs_raw,fs_centered,fs_norm,valid
bird_136_symmetrical_16_1,0,41.8043009652492,81.12505039424885,0.0,0.0,0.0,,0.0,False
bird_136_symmetrical_16_1,1,42.04676608280929,80.84249900021823,0.3723232782167625,0.0040177968135634195,0.0,,0.0,False
bird_136_symmetrical_16_1,2,42.289231200369386,80.55994760618762,0.7446465564335141,0.008035593627126721,0.0,,0.0,False
bird_136_symmetrical_16_1,3,42.53169631792948,80.277396212157,1.1169698346502765,0.01205339044069014,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,4,42.77416143548958,79.9948448181264,1.4892931128670328,0.016071187254253494,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,5,43.016626553049676,79.71229342409578,1.8616163910837953,0.020088984067816913,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,6,43.25909167060977,79.42974203006517,2.233939669300547,0.024106780881380213,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,7,43.501556788169864,79.14719063603455,2.606262947517309,0.02812457769494363,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,8,43.74402190572996,78.86463924200395,2.9785862257340607,0.03214237450850693,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,9,43.98648702329005,78.58208784797333,3.350909503950823,0.03616017132207035,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,10,44.22895214085015,78.29953645394272,3.7232327821675746,0.04017796813563365,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,11,44.47141725841025,78.0169850599121,4.095556060384341,0.044195764949197115,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,12,44.71388237597034,77.7344336658815,4.467879338601093,0.04821356176276042,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,13,44.95634749353044,77.45188227185088,4.840202616817855,0.052231358576323834,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,14,45.19881261109053,77.16933087782027,5.212525895034607,0.05624915538988714,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,15,45.441277728650626,76.88677948378965,5.584849173251369,0.060266952203450554,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,16,45.68374284621072,76.60422808975905,5.957172451468121,0.06428474901701385,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,17,45.92620796377082,76.32167669572843,6.329495729684887,0.06830254583057732,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,18,46.168673081330915,76.03912530169782,6.701819007901639,0.07232034264414063,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,19,46.41113819889101,75.7565739076672,7.074142286118401,0.07633813945770404,1.0737914249165241,2.220446049250313e-16,0.5998830070547609,True
bird_136_symmetrical_16_1,20,46.653603316451104,75.4740225136366,7.446465564335153,0.08035593627126734,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,21,46.8960684340112,75.19147111960598,7.818788842551915,0.08437373308483076,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,22,47.13853355157129,74.90891972557536,8.191112120768677,0.08839152989839417,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,23,47.38099866913139,74.62636833154475,8.56343539898543,0.09240932671195748,1.0737914249165241,2.220446049250313e-16,0.5998830070547609,True
bird_136_symmetrical_16_1,24,47.62346378669149,74.34381693751413,8.935758677202196,0.09642712352552095,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,25,47.86592890425158,74.06126554348353,9.308081955418949,0.10044492033908427,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,26,48.10839402181168,73.77871414945291,9.680405233635712,0.10446271715264768,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,27,48.35085913937177,73.4961627554223,10.052728511852465,0.108480513966211,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,28,48.593324256931865,73.21361136139168,10.425051790069228,0.11249831077977443,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,29,48.83578937449196,72.93105996736108,10.79737506828598,0.11651610759333773,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,30,49.078254492052054,72.64850857333046,11.169698346502743,0.12053390440690116,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,31,49.320719609612155,72.36595717929985,11.5420216247195,0.12455170122046451,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,32,49.56318472717225,72.08340578526924,11.914344902936262,0.12856949803402795,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,33,49.80564984473234,71.80085439123863,12.286668181153015,0.13258729484759124,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,34,50.04811496229244,71.51830299720801,12.658991459369778,0.13660509166115467,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,35,50.29058007985253,71.2357516031774,13.03131473758653,0.140622888474718,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,36,50.533045197412626,70.95320020914679,13.403638015803294,0.14464068528828142,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,37,50.77551031497272,70.67064881511618,13.775961294020046,0.14865848210184474,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,38,51.01797543253282,70.38809742108556,14.148284572236813,0.1526762789154082,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,39,51.260440550092916,70.10554602705496,14.520607850453565,0.1566940757289715,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,40,51.50290566765301,69.82299463302434,14.892931128670329,0.16071187254253494,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,41,51.745370785213105,69.54044323899373,15.265254406887081,0.16472966935609823,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,42,51.9878359027732,69.25789184496311,15.637577685103844,0.16874746616966166,1.0737914249165241,2.220446049250313e-16,0.5998830070547609,True
bird_136_symmetrical_16_1,43,52.2303010203333,68.97534045093249,16.00990096332061,0.17276526298322514,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,44,52.47276613789339,68.69278905690189,16.382224241537358,0.17678305979678838,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,45,52.71523125545349,68.41023766287127,16.754547519754126,0.18080085661035186,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,46,52.95769637301358,68.12768626884066,17.126870797970877,0.18481865342391515,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,47,53.20016149057368,67.84513487481004,17.49919407618764,0.18883645023747858,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,48,53.44262660813377,67.56258348077944,17.87151735440439,0.19285424705104187,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,49,53.685091725693866,67.28003208674882,18.24384063262115,0.19687204386460527,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,50,53.92755684325396,66.99748069271821,18.6161639108379,0.20088984067816856,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,51,54.170021960814054,66.7149292986876,18.988487189054663,0.20490763749173196,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,52,54.412487078374156,66.43237790465699,19.36081046727142,0.20892543430529534,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,53,54.65495219593425,66.14982651062637,19.733133745488182,0.21294323111885874,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,54,54.897417313494344,65.86727511659576,20.105457023704933,0.21696102793242203,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,55,55.13988243105444,65.58472372256514,20.477780301921694,0.22097882474598546,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,56,55.38234754861453,65.30217232853454,20.850103580138445,0.22499662155954875,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,57,55.624812666174634,65.01962093450392,21.222426858355213,0.22901441837311223,1.0737914249165241,2.220446049250313e-16,0.5998830070547609,True
bird_136_symmetrical_16_1,58,55.86727778373472,64.7370695404733,21.59475013657197,0.23303221518667558,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,59,56.10974290129482,64.4545181464427,21.96707341478873,0.23705001200023895,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,60,56.35220801885492,64.17196675241209,22.33939669300548,0.24106780881380224,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,61,56.59467313641501,63.88941535838147,22.71171997122224,0.24508560562736567,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,62,56.837138253975105,63.60686396435086,23.084043249439,0.24910340244092902,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,63,57.0796033715352,63.324312570320245,23.456366527655756,0.2531211992544924,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,64,57.322068489095294,63.04176117628963,23.828689805872514,0.2571389960680558,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,65,57.56453360665539,62.75920978225902,24.201013084089272,0.26115679288161914,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,66,57.80699872421549,62.47665838822841,24.573336362306033,0.26517458969518254,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,67,58.04946384177558,62.194106994197796,24.945659640522784,0.26919238650874583,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,68,58.29192895933568,61.91155560016718,25.317982918739546,0.27321018332230923,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,69,58.53439407689577,61.62900420613657,25.690306196956303,0.27722798013587263,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,70,58.77685919445587,61.34645281210596,26.06262947517306,0.281245776949436,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,71,59.01932431201597,61.063901418075346,26.434952753389823,0.2852635737629994,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,72,59.261789429576055,60.781350024044734,26.807276031606573,0.28928137057656267,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,73,59.504254547136156,60.49879863001412,27.179599309823335,0.29329916739012607,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,74,59.74671966469625,60.2162472359835,27.551922588040096,0.29731696420368947,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,75,59.989184782256345,59.9336958419529,27.924245866256847,0.30133476101725276,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,76,60.23164989981644,59.65114444792228,28.296569144473608,0.3053525578308162,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,77,60.47411501737653,59.36859305389167,28.66889242269036,0.3093703546443795,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,78,60.716580134936635,59.08604165986105,29.041215700907127,0.31338815145794297,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,79,60.95904525249672,58.80349026583045,29.413538979123874,0.3174059482715062,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,80,61.20151037005682,58.52093887179983,29.785862257340643,0.3214237450850697,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,81,61.44397548761692,58.23838747776922,30.158185535557394,0.325441541898633,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,82,61.68644060517701,57.9558360837386,30.530508813774155,0.3294593387121964,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,83,61.928905722737106,57.67328468970799,30.902832091990913,0.33347713552575975,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,84,62.1713708402972,57.39073329567738,31.27515537020767,0.33749493233932315,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,85,62.4138359578573,57.108181901646766,31.647478648424432,0.34151272915288655,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,86,62.656301075417396,56.825630507616154,32.019801926641186,0.3455305259664499,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,87,62.89876619297749,56.54307911358554,32.39212520485794,0.3495483227800132,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,88,63.141231310537584,56.26052771955493,32.764448483074695,0.35356611959357653,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,89,63.38369642809768,55.97797632552432,33.13677176129145,0.3575839164071399,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,90,63.62616154565778,55.695424931493704,33.50909503950821,0.3616017132207033,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,91,63.86862666321787,55.41287353746309,33.881418317724965,0.3656195100342666,1.0737914249165241,2.220446049250313e-16,0.5998830070547609,True
bird_136_symmetrical_16_1,92,64.11109178077797,55.13032214343248,34.253741595941726,0.36963730684783,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,93,64.35355689833806,54.84777074940187,34.62606487415848,0.3736551036613934,1.073791424916524,0.0,0.5998830070547608,True
bird_136_symmetrical_16_1,94,64.59602201589816,54.565219355371255,34.99838815237524,0.3776729004749568,1.073791424916524,0.0,0.5998830070547608,True
