metric,n_cases,mean,sd,se,min,max
expected_fs_hard_sum,4,24.660540864597834,0.5327776068681936,0.2663888034340968,23.947208443292745,25.114004516358268
expected_fs_hard_mean,4,1.1742845348251176,0.008304683787600582,0.004152341893800291,1.162367371639826,1.181167457463394
expected_fs_hard_density,4,0.42495545535522417,0.002659094257768473,0.0013295471288842366,0.4210609014764013,0.42695611858690374
expected_fs_soft_sum,4,24.56170362620838,0.5828856505261847,0.29144282526309234,23.783761661011308,25.067967712023624
expected_fs_soft_mean,4,1.1729183398720742,0.009164579838115661,0.0045822899190578305,1.1598118834142657,1.1806360281703445
expected_fs_soft_density,4,0.4245781418996977,0.0029510139637463546,0.0014755069818731773,0.4202689912556243,0.4268443264746521
n_shapes_selected_hard,4,8725.25,840.0620512795468,420.0310256397734,7817.0,9543.0
