case_id,top_k_clusters,n_selected_clusters,n_shapes_selected_hard,expected_fs_hard_sum,expected_fs_hard_mean,expected_fs_hard_density,expected_fs_soft_sum,expected_fs_soft_mean,expected_fs_soft_density,fs_signed,fs_resolution,n_points_shape,n_points_occluder
butterfly_48_symmetrical_6_1,5,5,2987,28.949149907531343,1.2273929104235441,0.4388084199223083,29.035136138725825,1.2276352156120351,0.4386915273797165,True,3,256,128
butterfly_48_symmetrical_6_2,5,5,2605,28.29713263865228,1.214632535140501,0.4340466517543378,28.33984627152342,1.214423612009567,0.4338525531392179,True,3,256,128
butterfly_48_symmetrical_6_3,5,5,3020,26.238165535445717,1.1851181879189268,0.426842270817829,26.27727278380716,1.1840970061306997,0.42638989578803166,True,3,256,128
butterfly_48_symmetrical_6_4,5,5,2348,27.375767338050288,1.2119950993950337,0.4353820344805883,27.350911627377727,1.2113948843658622,0.43505188819459084,True,3,256,128
butterfly_48_symmetrical_6_5,5,5,2443,31.055015340994903,1.268259240195951,0.45169247418762004,31.16820308412299,1.2694129650539516,0.4519237641442932,True,3,256,128
