case_id,top_k_clusters,n_selected_clusters,n_shapes_selected_hard,expected_fs_hard_sum,expected_fs_hard_mean,expected_fs_hard_density,expected_fs_soft_sum,expected_fs_soft_mean,expected_fs_soft_density,fs_signed,fs_resolution,n_points_shape,n_points_occluder
butterfly_48_symmetrical_1_1,5,5,1111,1.1671856195176658,0.23975970104340316,0.12962532089816634,2.931261396566299,0.5989788043655275,0.32489522385756103,True,3,256,128
butterfly_48_symmetrical_1_2,5,5,886,2.441604573747476,0.4844052118119607,0.25891144215845097,3.187724976018448,0.6257004494166496,0.33680776276136687,True,3,256,128
butterfly_48_symmetrical_1_3,5,5,1298,2.7218680204787944,0.5234957045354849,0.28007950336841403,3.3333002586257785,0.6496029928719613,0.35088560179499956,True,3,256,128
butterfly_48_symmetrical_1_4,5,5,684,1.846617479364737,0.37088295144891714,0.20093721902870618,3.131324294635031,0.6264875054610053,0.3401523673283203,True,3,256,128
butterfly_48_symmetrical_1_5,5,5,1386,1.8694922100924896,0.3709183683855197,0.2000405829124181,3.0821814501782656,0.6131948915660431,0.33139413134726364,True,3,256,128
