metric,n_cases,mean,sd,se,min,max
expected_fs_hard_sum,5,2.0093535806402327,0.6020400452610774,0.2692404932761638,1.1671856195176658,2.7218680204787944
expected_fs_hard_mean,5,0.39789238744505717,0.11149407595217219,0.04986166658351632,0.23975970104340316,0.5234957045354849
expected_fs_hard_density,5,0.21391881367323115,0.058881434874959386,0.026332578198627204,0.12962532089816634,0.28007950336841403
expected_fs_soft_sum,5,3.133158475204764,0.146968268806276,0.065726207917259,2.931261396566299,3.3333002586257785
expected_fs_soft_mean,5,0.6227929287362374,0.018709075001906966,0.008366952700081197,0.5989788043655275,0.6496029928719613
expected_fs_soft_density,5,0.33682701741790233,0.009754307587927748,0.004362258968009691,0.32489522385756103,0.35088560179499956
n_shapes_selected_hard,5,1073.0,289.968963856479,129.6780629096533,684.0,1386.0
