case_id,top_k_clusters,n_selected_clusters,n_shapes_selected_hard,expected_fs_hard_sum,expected_fs_hard_mean,expected_fs_hard_density,expected_fs_soft_sum,expected_fs_soft_mean,expected_fs_soft_density,fs_signed,fs_resolution,n_points_shape,n_points_occluder
butterfly_48_symmetrical_4_1,5,5,5827,14.517192616647883,1.0695520144058681,0.4121113982307222,14.422027632573293,1.0666118712174488,0.41110714909257656,True,3,256,128
butterfly_48_symmetrical_4_2,5,5,6606,15.089165559591237,1.0838186147804683,0.41600362502793675,14.973505019073952,1.0801096020267134,0.4146429840417227,True,3,256,128
butterfly_48_symmetrical_4_3,5,5,7200,15.145767362975842,1.0888398531657573,0.41893845239119243,15.027019735667789,1.0852822444613859,0.4176900221065785,True,3,256,128
butterfly_48_symmetrical_4_4,5,5,5956,14.438576929655223,1.06479513546584,0.4100433033705352,14.323010038389649,1.061411978852938,0.4088350131630266,True,3,256,128
butterfly_48_symmetrical_4_5,5,5,5826,14.068187046331051,1.0537201636025966,0.40531701863469416,13.96587273752233,1.050409154477093,0.4041269574049039,True,3,256,128
