metric,n_cases,mean,sd,se,min,max
expected_fs_hard_sum,5,14.651777903040246,0.4581156216040983,0.204875534292267,14.068187046331051,15.145767362975842
expected_fs_hard_mean,5,1.072145156284106,0.014275942030036048,0.0063843953644013894,1.0537201636025966,1.0888398531657573
expected_fs_hard_density,5,0.4124827595310162,0.0052798949402384655,0.0023612408000860795,0.40531701863469416,0.41893845239119243
expected_fs_soft_sum,5,14.542287032645401,0.45158413068238235,0.20195456275319107,13.96587273752233,15.027019735667789
expected_fs_soft_mean,5,1.0687649702071158,0.014117004888975822,0.006313316514089362,1.050409154477093,1.0852822444613859
expected_fs_soft_density,5,0.4112804251617617,0.005233829874105659,0.002340639876233884,0.4041269574049039,0.4176900221065785
n_shapes_selected_hard,5,6283.0,605.99752474742,271.01033190636844,5826.0,7200.0
