case_id,top_k_clusters,n_selected_clusters,n_shapes_selected_hard,expected_fs_hard_sum,expected_fs_hard_mean,expected_fs_hard_density,expected_fs_soft_sum,expected_fs_soft_mean,expected_fs_soft_density,fs_signed,fs_resolution,n_points_shape,n_points_occluder
elephant_7_high_small_1,5,5,3795,8.497766222038987,1.028265598146516,0.26034555935262244,8.508575638838838,1.0286791011934326,0.26051567819940735,True,3,256,128
elephant_7_high_small_2,5,5,4262,8.53849373766581,1.0350914280766916,0.2610663225501374,8.568598466455867,1.036505926090313,0.261387005058747,True,3,256,128
elephant_7_high_small_3,5,5,3941,8.84151591599525,1.0536808022919393,0.26566259857999575,8.875100859212997,1.055427551641234,0.2661018914943812,True,3,256,128
elephant_7_high_small_4,5,5,4140,8.878801221356419,1.0590759931663438,0.2657632400275866,8.882687603541232,1.0589211437991668,0.26571062694177405,True,3,256,128
elephant_7_high_small_5,5,5,3926,8.906432089533721,1.0596187226266003,0.2662282722352162,8.938949442483448,1.0611116532754183,0.26654928697432395,True,3,256,128
elephant_7_high_small_6,5,5,3993,9.120575790749141,1.0795284365752837,0.2724751919093737,9.140906734337516,1.0806967735499033,0.2728363670886395,True,3,256,128
elephant_7_high_small_7,5,5,3733,8.616566633378637,1.0418614920948812,0.2633725106006934,8.627556008459733,1.0421978235898095,0.26352587623636836,True,3,256,128
elephant_7_high_small_8,5,5,3443,8.884275321872892,1.0536056970770142,0.26416953231355705,8.884809357618114,1.0533621096270993,0.2641214901336567,True,3,256,128
elephant_7_high_small_9,5,5,4308,8.593402167241667,1.0391230903462403,0.26290572278938384,8.579678597523007,1.0381240997981398,0.26272592700762565,True,3,256,128
elephant_7_high_small_10,5,5,4205,8.594769309703263,1.0464330073985666,0.26311536894608606,8.605723543433946,1.0468294511546992,0.2632444948498648,True,3,256,128
elephant_7_high_small_11,5,5,3826,9.228673484184661,1.0830746447427007,0.27229297968057203,9.257258524865241,1.0847004474394708,0.2727883019261374,True,3,256,128
elephant_7_high_small_12,5,5,3732,9.209051387869788,1.0757054762439089,0.2702595716540767,9.224457561864625,1.0762009440780078,0.2704872889259294,True,3,256,128
elephant_7_high_small_13,5,5,3914,8.788854158303167,1.0552043093397787,0.2661553683246119,8.785279897798977,1.054663338270303,0.26609152674184905,True,3,256,128
elephant_7_high_small_14,5,5,3389,8.758935432336104,1.047650476705949,0.2647561095651907,8.780302330441405,1.0485320106103797,0.26497671407639467,True,3,256,128
elephant_7_high_small_15,5,5,4217,8.822148541102168,1.0551857333800596,0.2666637641345959,8.833018535476246,1.0557427026980046,0.2667977092434429,True,3,256,128
