metric,n_cases,mean,sd,se,min,max
expected_fs_hard_sum,5,0.9598758544872119,0.16951096608818775,0.07580760862096989,0.7806941235998772,1.1515882063895804
expected_fs_hard_mean,5,0.20021796430808303,0.031662206176198034,0.014159769065518496,0.16507549282512635,0.23165305088098379
expected_fs_hard_density,5,0.10992731078725819,0.01621562357200991,0.007251847320912423,0.0919064467167011,0.12714787303067066
expected_fs_soft_sum,5,0.7982856691843897,0.11234808281785079,0.05024359006449809,0.6709729564079996,0.9383382636532812
expected_fs_soft_mean,5,0.17016134020031667,0.02272952841052357,0.010164954124488689,0.14505101918178723,0.19848575619315623
expected_fs_soft_density,5,0.09377931266812875,0.0112498115862032,0.005031068688163018,0.0814352685199746,0.10757481574126043
n_shapes_selected_hard,5,4898.8,924.7963018957201,413.5814792758496,3887.0,5851.0
