case_id,top_k_clusters,n_selected_clusters,n_shapes_selected_hard,expected_fs_hard_sum,expected_fs_hard_mean,expected_fs_hard_density,expected_fs_soft_sum,expected_fs_soft_mean,expected_fs_soft_density,fs_signed,fs_resolution,n_points_shape,n_points_occluder
bird_17_high_large_1,5,5,1949,69.54719266184574,1.2215545099159315,0.4790590222219556,69.66495433352443,1.2220499437693364,0.4790784114244394,True,3,256,128
bird_17_high_large_2,5,5,2770,66.29188965585328,1.206942547316808,0.47731076046173787,66.33688459425647,1.2070506280936448,0.47725978305721456,True,3,256,128
bird_17_high_large_3,5,5,3457,62.16653455785439,1.182146774793202,0.4730701191139298,62.30949232618732,1.1828766631963508,0.4731960495776544,True,3,256,128
bird_17_high_large_4,5,5,1925,67.95146546299017,1.214676235867427,0.4787371978394118,68.02921838442356,1.2154440111341498,0.4790719825072909,True,3,256,128
bird_17_high_large_5,5,5,2224,68.71636101661322,1.2107243775984267,0.47436752270397076,68.8520248395978,1.2108954200621078,0.47413486796914256,True,3,256,128
bird_17_high_large_6,5,5,2233,66.59843683325954,1.2067589138607457,0.4767062812929048,66.70486263808311,1.2073750597815263,0.47684365292637937,True,3,256,128
bird_17_high_large_7,5,5,2818,63.70995779373354,1.1958043004972632,0.4765730047330104,63.81353267374032,1.196265020097146,0.4766231923962747,True,3,256,128
bird_17_high_large_8,5,5,2332,65.45857793792477,1.2027041671118743,0.4769661817814372,65.43827016885568,1.2026187686645249,0.47696802454365284,True,3,256,128
bird_17_high_large_9,5,5,2269,71.02345144314889,1.2221967101380142,0.4757924919139327,71.13656085641142,1.2224131476950855,0.475664167383545,True,3,256,128
bird_17_high_large_10,5,5,2168,69.08359355354402,1.2048837987749195,0.4695629240406034,69.12300790172972,1.2043377898442336,0.46917220398494575,True,3,256,128
bird_17_high_large_11,5,5,2422,67.70769279999449,1.2080571998540117,0.4749798594892252,67.81782699097822,1.207991886044731,0.4747119937527427,True,3,256,128
bird_17_high_large_12,5,5,3499,64.02913097267998,1.1924483990327688,0.4749827588660146,64.22216462522158,1.19325968361746,0.47502909068324123,True,3,256,128
bird_17_high_large_13,5,5,2043,63.156757635366276,1.1776981919976526,0.46746882743914847,63.28403529672926,1.1777040943403705,0.46719555481888647,True,3,256,128
bird_17_high_large_14,5,5,2599,63.66184901834699,1.1858961599981535,0.4705236797480216,63.73839179280642,1.1858120154459795,0.4703019493348415,True,3,256,128
bird_17_high_large_15,5,5,2433,67.53144306869876,1.2203199324328418,0.48274448962010164,67.60894003092585,1.2208726081737427,0.48291661116803297,True,3,256,128
